Compression Factor,Mode,Num CAVs,Total Original Size (bytes),Total Compressed Size (bytes),Total Gained Size (bytes),Actual Compression Ratio,Avg Original Size per CAV (bytes),Avg Compressed Size per CAV (bytes),Avg Gained Size per CAV (bytes),Is_Lossless
32,lossy,128,2097152,216520,1880632,9.685719564012562,16384.0,1691.5625,14692.4375,0
32,lossy,128,2097152,217492,1879660,9.642432825115407,16384.0,1699.15625,14684.84375,0
32,lossy,128,2097152,217276,1879876,9.652018630681713,16384.0,1697.46875,14686.53125,0
32,lossy,128,2097152,217267,1879885,9.652418452871352,16384.0,1697.3984375,14686.6015625,0
32,lossy,128,2097152,217156,1879996,9.657352318149165,16384.0,1696.53125,14687.46875,0
32,lossy,128,2097152,220199,1876953,9.523894295614422,16384.0,1720.3046875,14663.6953125,0
32,lossy,128,2097152,219473,1877679,9.555398613952514,16384.0,1714.6328125,14669.3671875,0
32,lossy,128,2097152,220726,1876426,9.501155278490074,16384.0,1724.421875,14659.578125,0
32,lossy,128,2097152,218669,1878483,9.590531808349606,16384.0,1708.3515625,14675.6484375,0
32,lossy,128,2097152,217027,1880125,9.663092610596838,16384.0,1695.5234375,14688.4765625,0
32,lossy,128,2097152,218269,1878883,9.608107427073932,16384.0,1705.2265625,14678.7734375,0
32,lossy,128,2097152,214916,1882236,9.75800777978373,16384.0,1679.03125,14704.96875,0
32,lossy,128,2097152,216568,1880584,9.683572827010455,16384.0,1691.9375,14692.0625,0
32,lossy,128,2097152,219837,1877315,9.539577050269063,16384.0,1717.4765625,14666.5234375,0
32,lossy,128,2097152,218495,1878657,9.598169294491864,16384.0,1706.9921875,14677.0078125,0
32,lossy,128,2097152,219486,1877666,9.554832654474545,16384.0,1714.734375,14669.265625,0
32,lossy,128,2097152,220365,1876787,9.516719987293808,16384.0,1721.6015625,14662.3984375,0
32,lossy,128,2097152,215936,1881216,9.711914641375222,16384.0,1687.0,14697.0,0
32,lossy,128,2097152,215828,1881324,9.716774468558297,16384.0,1686.15625,14697.84375,0
32,lossy,128,2097152,215622,1881530,9.726057637903368,16384.0,1684.546875,14699.453125,0
32,lossy,128,2097152,217288,1879864,9.651485585950443,16384.0,1697.5625,14686.4375,0
32,lossy,128,2097152,216356,1880796,9.693061435781766,16384.0,1690.28125,14693.71875,0
32,lossy,128,2097152,216862,1880290,9.670444798996597,16384.0,1694.234375,14689.765625,0
32,lossy,128,2097152,218246,1878906,9.60911998387141,16384.0,1705.046875,14678.953125,0
32,lossy,128,2097152,220364,1876788,9.516763173658129,16384.0,1721.59375,14662.40625,0
32,lossy,128,2097152,219629,1877523,9.54861152215782,16384.0,1715.8515625,14668.1484375,0
32,lossy,128,2097152,221362,1875790,9.473857301614549,16384.0,1729.390625,14654.609375,0
32,lossy,128,2097152,221412,1875740,9.471717883402887,16384.0,1729.78125,14654.21875,0
32,lossy,128,2097152,222087,1875065,9.442930022918945,16384.0,1735.0546875,14648.9453125,0
32,lossy,128,2097152,220086,1877066,9.528784202539008,16384.0,1719.421875,14664.578125,0
32,lossy,128,2097152,220451,1876701,9.513007425686434,16384.0,1722.2734375,14661.7265625,0
32,lossy,128,2097152,221670,1875482,9.46069382415302,16384.0,1731.796875,14652.203125,0
32,lossy,128,2097152,220224,1876928,9.522813135716362,16384.0,1720.5,14663.5,0
32,lossy,128,2097152,220888,1876264,9.494187099344463,16384.0,1725.6875,14658.3125,0
32,lossy,128,2097152,220152,1877000,9.525927540971692,16384.0,1719.9375,14664.0625,0
32,lossy,128,2097152,219612,1877540,9.549350673005119,16384.0,1715.71875,14668.28125,0
32,lossy,128,2097152,216275,1880877,9.696691711940817,16384.0,1689.6484375,14694.3515625,0
32,lossy,128,2097152,215456,1881696,9.733551165899302,16384.0,1683.25,14700.75,0
32,lossy,128,2097152,218836,1878316,9.583212999689264,16384.0,1709.65625,14674.34375,0
32,lossy,128,2097152,220796,1876356,9.498143082302215,16384.0,1724.96875,14659.03125,0
32,lossy,128,2097152,220673,1876479,9.503437212527134,16384.0,1724.0078125,14659.9921875,0
32,lossy,128,2097152,218996,1878156,9.57621143765183,16384.0,1710.90625,14673.09375,0
32,lossy,128,2097152,218558,1878594,9.595402593361944,16384.0,1707.484375,14676.515625,0
32,lossy,128,2097152,218005,1879147,9.619742666452604,16384.0,1703.1640625,14680.8359375,0
32,lossy,128,2097152,219715,1877437,9.544874041371777,16384.0,1716.5234375,14667.4765625,0
32,lossy,128,2097152,220510,1876642,9.51046211056188,16384.0,1722.734375,14661.265625,0
32,lossy,128,2097152,221384,1875768,9.472915838542985,16384.0,1729.5625,14654.4375,0
32,lossy,128,2097152,221751,1875401,9.457238073334505,16384.0,1732.4296875,14651.5703125,0
32,lossy,128,2097152,219956,1877196,9.534415974103911,16384.0,1718.40625,14665.59375,0
32,lossy,128,2097152,221016,1876136,9.48868860173019,16384.0,1726.6875,14657.3125,0
32,lossy,128,2097152,222422,1874730,9.428707591874904,16384.0,1737.671875,14646.328125,0
32,lossy,128,2097152,221997,1875155,9.446758289526436,16384.0,1734.3515625,14649.6484375,0
32,lossy,128,2097152,220521,1876631,9.509987710920955,16384.0,1722.8203125,14661.1796875,0
32,lossy,128,2097152,222614,1874538,9.42057552534881,16384.0,1739.171875,14644.828125,0
32,lossy,128,2097152,224498,1872654,9.341517519087029,16384.0,1753.890625,14630.109375,0
32,lossy,128,2097152,222853,1874299,9.41047237416593,16384.0,1741.0390625,14642.9609375,0
32,lossy,128,2097152,223038,1874114,9.402666810139976,16384.0,1742.484375,14641.515625,0
32,lossy,128,2097152,222818,1874334,9.411950560547172,16384.0,1740.765625,14643.234375,0
32,lossy,128,2097152,222974,1874178,9.405365648012772,16384.0,1741.984375,14642.015625,0
32,lossy,128,2097152,220492,1876660,9.511238502984236,16384.0,1722.59375,14661.40625,0
32,lossy,128,2097152,222160,1874992,9.439827151602449,16384.0,1735.625,14648.375,0
32,lossy,128,2097152,222226,1874926,9.4370235705993,16384.0,1736.140625,14647.859375,0
32,lossy,128,2097152,223348,1873804,9.38961620430897,16384.0,1744.90625,14639.09375,0
32,lossy,128,2097152,226751,1870401,9.248700115986258,16384.0,1771.4921875,14612.5078125,0
32,lossy,128,2097152,226286,1870866,9.26770547006885,16384.0,1767.859375,14616.140625,0
32,lossy,128,2097152,227919,1869233,9.20130397202515,16384.0,1780.6171875,14603.3828125,0
32,lossy,128,2097152,229467,1867685,9.139231349170034,16384.0,1792.7109375,14591.2890625,0
32,lossy,128,2097152,228838,1868314,9.16435207439324,16384.0,1787.796875,14596.203125,0
32,lossy,128,2097152,228978,1868174,9.158748875437816,16384.0,1788.890625,14595.109375,0
32,lossy,128,2097152,229360,1867792,9.143494942448552,16384.0,1791.875,14592.125,0
32,lossy,128,2097152,229476,1867676,9.138872910456866,16384.0,1792.78125,14591.21875,0
32,lossy,128,2097152,224186,1872966,9.35451812334401,16384.0,1751.453125,14632.546875,0
32,lossy,128,2097152,222983,1874169,9.404986030325182,16384.0,1742.0546875,14641.9453125,0
32,lossy,128,2097152,221962,1875190,9.448247898288896,16384.0,1734.078125,14649.921875,0
32,lossy,128,2097152,219581,1877571,9.55069883095532,16384.0,1715.4765625,14668.5234375,0
32,lossy,128,2097152,218789,1878363,9.58527165442504,16384.0,1709.2890625,14674.7109375,0
32,lossy,128,2097152,219258,1877894,9.564768446305266,16384.0,1712.953125,14671.046875,0
32,lossy,128,2097152,223472,1873680,9.384406100093077,16384.0,1745.875,14638.125,0
32,lossy,128,2097152,227143,1870009,9.232738847334058,16384.0,1774.5546875,14609.4453125,0
32,lossy,128,2097152,230589,1866563,9.09476167553526,16384.0,1801.4765625,14582.5234375,0
32,lossy,128,2097152,230750,1866402,9.088416034669557,16384.0,1802.734375,14581.265625,0
