Compression Factor,Mode,Num CAVs,Total Original Size (bytes),Total Compressed Size (bytes),Total Gained Size (bytes),Actual Compression Ratio,Avg Original Size per CAV (bytes),Avg Compressed Size per CAV (bytes),Avg Gained Size per CAV (bytes),Is_Lossless
8,lossy,128,2097152,364555,1732597,5.752635404808602,16384.0,2848.0859375,13535.9140625,0
8,lossy,128,2097152,361617,1735535,5.799373370167885,16384.0,2825.1328125,13558.8671875,0
8,lossy,128,2097152,364931,1732221,5.746708281839581,16384.0,2851.0234375,13532.9765625,0
8,lossy,128,2097152,364092,1733060,5.759950781670566,16384.0,2844.46875,13539.53125,0
8,lossy,128,2097152,360488,1736664,5.817536228667806,16384.0,2816.3125,13567.6875,0
8,lossy,128,2097152,358000,1739152,5.857966480446928,16384.0,2796.875,13587.125,0
8,lossy,128,2097152,361468,1735684,5.801763918244492,16384.0,2823.96875,13560.03125,0
8,lossy,128,2097152,354389,1742763,5.917655457703258,16384.0,2768.6640625,13615.3359375,0
8,lossy,128,2097152,345053,1752099,6.0777677632131875,16384.0,2695.7265625,13688.2734375,0
8,lossy,128,2097152,335623,1761529,6.24853481436016,16384.0,2622.0546875,13761.9453125,0
8,lossy,128,2097152,337065,1760087,6.221802916351446,16384.0,2633.3203125,13750.6796875,0
8,lossy,128,2097152,333390,1763762,6.290386634272174,16384.0,2604.609375,13779.390625,0
8,lossy,128,2097152,335735,1761417,6.246450325405454,16384.0,2622.9296875,13761.0703125,0
8,lossy,128,2097152,333605,1763547,6.286332638899297,16384.0,2606.2890625,13777.7109375,0
8,lossy,128,2097152,332839,1764313,6.300800086528321,16384.0,2600.3046875,13783.6953125,0
8,lossy,128,2097152,333636,1763516,6.285748540325384,16384.0,2606.53125,13777.46875,0
8,lossy,128,2097152,328690,1768462,6.3803340533633515,16384.0,2567.890625,13816.109375,0
8,lossy,128,2097152,320788,1776364,6.537501402795616,16384.0,2506.15625,13877.84375,0
8,lossy,128,2097152,320560,1776592,6.542151235338158,16384.0,2504.375,13879.625,0
8,lossy,128,2097152,314050,1783102,6.677764687151727,16384.0,2453.515625,13930.484375,0
8,lossy,128,2097152,319241,1777911,6.569181276841007,16384.0,2494.0703125,13889.9296875,0
8,lossy,128,2097152,324622,1772530,6.460289197897863,16384.0,2536.109375,13847.890625,0
8,lossy,128,2097152,322710,1774442,6.498565275324595,16384.0,2521.171875,13862.828125,0
8,lossy,128,2097152,323378,1773774,6.485141227912845,16384.0,2526.390625,13857.609375,0
8,lossy,128,2097152,326034,1771118,6.4323107405976065,16384.0,2547.140625,13836.859375,0
8,lossy,128,2097152,315899,1781253,6.638678818229877,16384.0,2467.9609375,13916.0390625,0
8,lossy,128,2097152,313031,1784121,6.699502605173289,16384.0,2445.5546875,13938.4453125,0
8,lossy,128,2097152,307355,1789797,6.823223959265345,16384.0,2401.2109375,13982.7890625,0
8,lossy,128,2097152,311316,1785836,6.736409307584577,16384.0,2432.15625,13951.84375,0
8,lossy,128,2097152,321890,1775262,6.515120072074311,16384.0,2514.765625,13869.234375,0
8,lossy,128,2097152,323062,1774090,6.491484606669927,16384.0,2523.921875,13860.078125,0
8,lossy,128,2097152,319708,1777444,6.5595856218799655,16384.0,2497.71875,13886.28125,0
8,lossy,128,2097152,323908,1773244,6.474529804759376,16384.0,2530.53125,13853.46875,0
8,lossy,128,2097152,322372,1774780,6.505378879058975,16384.0,2518.53125,13865.46875,0
8,lossy,128,2097152,323098,1774054,6.490761316999795,16384.0,2524.203125,13859.796875,0
8,lossy,128,2097152,328770,1768382,6.3787815189950425,16384.0,2568.515625,13815.484375,0
8,lossy,128,2097152,329727,1767425,6.360267736642737,16384.0,2575.9921875,13808.0078125,0
8,lossy,128,2097152,332294,1764858,6.311134116174231,16384.0,2596.046875,13787.953125,0
8,lossy,128,2097152,336517,1760635,6.231934790812946,16384.0,2629.0390625,13754.9609375,0
8,lossy,128,2097152,341580,1755572,6.139563206276714,16384.0,2668.59375,13715.40625,0
8,lossy,128,2097152,339151,1758001,6.183534767699343,16384.0,2649.6171875,13734.3828125,0
8,lossy,128,2097152,341322,1755830,6.144204006773663,16384.0,2666.578125,13717.421875,0
8,lossy,128,2097152,339033,1758119,6.185686939029534,16384.0,2648.6953125,13735.3046875,0
8,lossy,128,2097152,344192,1752960,6.092971364819635,16384.0,2689.0,13695.0,0
8,lossy,128,2097152,340742,1756410,6.15466247189956,16384.0,2662.046875,13721.953125,0
8,lossy,128,2097152,336902,1760250,6.224813150411692,16384.0,2632.046875,13751.953125,0
8,lossy,128,2097152,337563,1759589,6.212624013887778,16384.0,2637.2109375,13746.7890625,0
8,lossy,128,2097152,344949,1752203,6.079600172779164,16384.0,2694.9140625,13689.0859375,0
8,lossy,128,2097152,354533,1742619,5.915251894746047,16384.0,2769.7890625,13614.2109375,0
8,lossy,128,2097152,371019,1726133,5.652411332034209,16384.0,2898.5859375,13485.4140625,0
8,lossy,128,2097152,362228,1734924,5.789591086277151,16384.0,2829.90625,13554.09375,0
8,lossy,128,2097152,363105,1734047,5.775607606615166,16384.0,2836.7578125,13547.2421875,0
8,lossy,128,2097152,362940,1734212,5.778233316801675,16384.0,2835.46875,13548.53125,0
8,lossy,128,2097152,353670,1743482,5.929685865354709,16384.0,2763.046875,13620.953125,0
8,lossy,128,2097152,351361,1745791,5.968653322366455,16384.0,2745.0078125,13638.9921875,0
8,lossy,128,2097152,354008,1743144,5.924024315834671,16384.0,2765.6875,13618.3125,0
8,lossy,128,2097152,348184,1748968,6.023114215472279,16384.0,2720.1875,13663.8125,0
8,lossy,128,2097152,361279,1735873,5.8047990611134335,16384.0,2822.4921875,13561.5078125,0
8,lossy,128,2097152,359988,1737164,5.82561640943587,16384.0,2812.40625,13571.59375,0
8,lossy,128,2097152,368775,1728377,5.686806318215714,16384.0,2881.0546875,13502.9453125,0
8,lossy,128,2097152,355785,1741367,5.89443624660961,16384.0,2779.5703125,13604.4296875,0
8,lossy,128,2097152,366084,1731068,5.7286087346073575,16384.0,2860.03125,13523.96875,0
8,lossy,128,2097152,361547,1735605,5.800496201047166,16384.0,2824.5859375,13559.4140625,0
8,lossy,128,2097152,361892,1735260,5.794966454080223,16384.0,2827.28125,13556.71875,0
8,lossy,128,2097152,367568,1729584,5.70548034649371,16384.0,2871.625,13512.375,0
8,lossy,128,2097152,368842,1728310,5.685773312149918,16384.0,2881.578125,13502.421875,0
8,lossy,128,2097152,364021,1733131,5.761074223739839,16384.0,2843.9140625,13540.0859375,0
8,lossy,128,2097152,348708,1748444,6.014063342395357,16384.0,2724.28125,13659.71875,0
8,lossy,128,2097152,351070,1746082,5.973600706411827,16384.0,2742.734375,13641.265625,0
8,lossy,128,2097152,343273,1753879,6.109283281819427,16384.0,2681.8203125,13702.1796875,0
8,lossy,128,2097152,349306,1747846,6.003767470355505,16384.0,2728.953125,13655.046875,0
8,lossy,128,2097152,355906,1741246,5.89243227144246,16384.0,2780.515625,13603.484375,0
8,lossy,128,2097152,344366,1752786,6.089892730408925,16384.0,2690.359375,13693.640625,0
8,lossy,128,2097152,354424,1742728,5.9170710787079885,16384.0,2768.9375,13615.0625,0
8,lossy,128,2097152,354060,1743092,5.923154267638253,16384.0,2766.09375,13617.90625,0
8,lossy,128,2097152,341441,1755711,6.1420626111099725,16384.0,2667.5078125,13716.4921875,0
8,lossy,128,2097152,348831,1748321,6.011942745914211,16384.0,2725.2421875,13658.7578125,0
8,lossy,128,2097152,345821,1751331,6.064270243854479,16384.0,2701.7265625,13682.2734375,0
8,lossy,128,2097152,347000,1750152,6.043665706051873,16384.0,2710.9375,13673.0625,0
8,lossy,128,2097152,343005,1754147,6.114056646404571,16384.0,2679.7265625,13704.2734375,0
8,lossy,128,2097152,345512,1751640,6.069693671999815,16384.0,2699.3125,13684.6875,0
8,lossy,128,2097152,345864,1751288,6.063516295422478,16384.0,2702.0625,13681.9375,0
8,lossy,128,2097152,345672,1751480,6.066884213936912,16384.0,2700.5625,13683.4375,0
8,lossy,128,2097152,342451,1754701,6.123947659665179,16384.0,2675.3984375,13708.6015625,0
8,lossy,128,2097152,341582,1755570,6.139527258462097,16384.0,2668.609375,13715.390625,0
8,lossy,128,2097152,354194,1742958,5.92091339774248,16384.0,2767.140625,13616.859375,0
8,lossy,128,2097152,343233,1753919,6.109995251039382,16384.0,2681.5078125,13702.4921875,0
8,lossy,128,2097152,344291,1752861,6.091219346424972,16384.0,2689.7734375,13694.2265625,0
8,lossy,128,2097152,342691,1754461,6.1196588180022236,16384.0,2677.2734375,13706.7265625,0
8,lossy,128,2097152,342020,1755132,6.131664814923104,16384.0,2672.03125,13711.96875,0
8,lossy,128,2097152,349067,1748085,6.007878143737448,16384.0,2727.0859375,13656.9140625,0
8,lossy,128,2097152,343806,1753346,6.099812103337348,16384.0,2685.984375,13698.015625,0
8,lossy,128,2097152,337593,1759559,6.212071932771118,16384.0,2637.4453125,13746.5546875,0
8,lossy,128,2097152,342021,1755131,6.131646887179442,16384.0,2672.0390625,13711.9609375,0
8,lossy,128,2097152,339813,1757339,6.171488436287016,16384.0,2654.7890625,13729.2109375,0
8,lossy,128,2097152,347879,1749273,6.02839493042121,16384.0,2717.8046875,13666.1953125,0
8,lossy,128,2097152,343291,1753861,6.108962949800606,16384.0,2681.9609375,13702.0390625,0
8,lossy,128,2097152,338685,1758467,6.192042753591095,16384.0,2645.9765625,13738.0234375,0
8,lossy,128,2097152,348391,1748761,6.019535521870542,16384.0,2721.8046875,13662.1953125,0
8,lossy,128,2097152,349261,1747891,6.004541016603628,16384.0,2728.6015625,13655.3984375,0
8,lossy,128,2097152,349307,1747845,6.003750282702608,16384.0,2728.9609375,13655.0390625,0
8,lossy,128,2097152,346496,1750656,6.052456594015515,16384.0,2707.0,13677.0,0
8,lossy,128,2097152,350291,1746861,5.986885189742243,16384.0,2736.6484375,13647.3515625,0
