Compression Factor,Mode,Num CAVs,Total Original Size (bytes),Total Compressed Size (bytes),Total Gained Size (bytes),Actual Compression Ratio,Avg Original Size per CAV (bytes),Avg Compressed Size per CAV (bytes),Avg Gained Size per CAV (bytes),Is_Lossless
32,lossy,128,2097152,78622,2018530,26.673857190099465,16384.0,614.234375,15769.765625,0
32,lossy,128,2097152,79347,2017805,26.43013598497738,16384.0,619.8984375,15764.1015625,0
32,lossy,128,2097152,78655,2018497,26.662666073358338,16384.0,614.4921875,15769.5078125,0
32,lossy,128,2097152,76863,2020289,27.28428502660578,16384.0,600.4921875,15783.5078125,0
32,lossy,128,2097152,75840,2021312,27.652320675105486,16384.0,592.5,15791.5,0
32,lossy,128,2097152,75529,2021623,27.7661825259172,16384.0,590.0703125,15793.9296875,0
32,lossy,128,2097152,76211,2020941,27.517707417564395,16384.0,595.3984375,15788.6015625,0
32,lossy,128,2097152,76811,2020341,27.302756115660518,16384.0,600.0859375,15783.9140625,0
32,lossy,128,2097152,77385,2019767,27.10023906441817,16384.0,604.5703125,15779.4296875,0
32,lossy,128,2097152,77408,2019744,27.09218685407193,16384.0,604.75,15779.25,0
32,lossy,128,2097152,77833,2019319,26.94425243791194,16384.0,608.0703125,15775.9296875,0
32,lossy,128,2097152,78369,2018783,26.759968865240083,16384.0,612.2578125,15771.7421875,0
32,lossy,128,2097152,80010,2017142,26.211123609548807,16384.0,625.078125,15758.921875,0
32,lossy,128,2097152,80009,2017143,26.21145121173868,16384.0,625.0703125,15758.9296875,0
32,lossy,128,2097152,80480,2016672,26.058051689860836,16384.0,628.75,15755.25,0
32,lossy,128,2097152,81470,2015682,25.741401742972872,16384.0,636.484375,15747.515625,0
32,lossy,128,2097152,80432,2016720,26.07360254625025,16384.0,628.375,15755.625,0
32,lossy,128,2097152,79867,2017285,26.258054014799605,16384.0,623.9609375,15760.0390625,0
32,lossy,128,2097152,79012,2018140,26.542196122108034,16384.0,617.28125,15766.71875,0
32,lossy,128,2097152,78383,2018769,26.755189262977943,16384.0,612.3671875,15771.6328125,0
32,lossy,128,2097152,77722,2019430,26.98273333161782,16384.0,607.203125,15776.796875,0
32,lossy,128,2097152,77633,2019519,27.01366686847088,16384.0,606.5078125,15777.4921875,0
32,lossy,128,2097152,77722,2019430,26.98273333161782,16384.0,607.203125,15776.796875,0
32,lossy,128,2097152,77588,2019564,27.029334433159768,16384.0,606.15625,15777.84375,0
32,lossy,128,2097152,77396,2019756,27.096387410202077,16384.0,604.65625,15779.34375,0
32,lossy,128,2097152,79369,2017783,26.42280991319029,16384.0,620.0703125,15763.9296875,0
32,lossy,128,2097152,77798,2019354,26.956374199850895,16384.0,607.796875,15776.203125,0
32,lossy,128,2097152,81634,2015518,25.689688120146016,16384.0,637.765625,15746.234375,0
32,lossy,128,2097152,84146,2013006,24.92277707793597,16384.0,657.390625,15726.609375,0
32,lossy,128,2097152,85038,2012114,24.661351395846562,16384.0,664.359375,15719.640625,0
32,lossy,128,2097152,86147,2011005,24.34387732596608,16384.0,673.0234375,15710.9765625,0
32,lossy,128,2097152,83141,2014011,25.2240410868284,16384.0,649.5390625,15734.4609375,0
32,lossy,128,2097152,83920,2013232,24.98989513822688,16384.0,655.625,15728.375,0
32,lossy,128,2097152,83618,2013534,25.080150206893254,16384.0,653.265625,15730.734375,0
32,lossy,128,2097152,85000,2012152,24.672376470588237,16384.0,664.0625,15719.9375,0
32,lossy,128,2097152,84004,2013148,24.964906433027,16384.0,656.28125,15727.71875,0
32,lossy,128,2097152,83908,2013244,24.99346903751728,16384.0,655.53125,15728.46875,0
32,lossy,128,2097152,85304,2011848,24.584450904998594,16384.0,666.4375,15717.5625,0
32,lossy,128,2097152,82341,2014811,25.469110163830898,16384.0,643.2890625,15740.7109375,0
32,lossy,128,2097152,83907,2013245,24.993766908601188,16384.0,655.5234375,15728.4765625,0
32,lossy,128,2097152,81356,2015796,25.77747185210679,16384.0,635.59375,15748.40625,0
32,lossy,128,2097152,82182,2014970,25.518386021269865,16384.0,642.046875,15741.953125,0
32,lossy,128,2097152,82160,2014992,25.525219084712756,16384.0,641.875,15742.125,0
32,lossy,128,2097152,82557,2014595,25.40247344259118,16384.0,644.9765625,15739.0234375,0
32,lossy,128,2097152,82813,2014339,25.323946723340537,16384.0,646.9765625,15737.0234375,0
32,lossy,128,2097152,82697,2014455,25.359468904555182,16384.0,646.0703125,15737.9296875,0
32,lossy,128,2097152,87142,2010010,24.06591540244658,16384.0,680.796875,15703.203125,0
32,lossy,128,2097152,84804,2012348,24.72939955662469,16384.0,662.53125,15721.46875,0
32,lossy,128,2097152,82669,2014483,25.36805815964872,16384.0,645.8515625,15738.1484375,0
32,lossy,128,2097152,83086,2014066,25.24073851190333,16384.0,649.109375,15734.890625,0
32,lossy,128,2097152,81711,2015441,25.665479555996132,16384.0,638.3671875,15745.6328125,0
32,lossy,128,2097152,79803,2017349,26.279112314073405,16384.0,623.4609375,15760.5390625,0
32,lossy,128,2097152,78356,2018796,26.76440859666139,16384.0,612.15625,15771.84375,0
32,lossy,128,2097152,80104,2017048,26.180365524817738,16384.0,625.8125,15758.1875,0
32,lossy,128,2097152,80586,2016566,26.02377584195766,16384.0,629.578125,15754.421875,0
32,lossy,128,2097152,78377,2018775,26.757237454865585,16384.0,612.3203125,15771.6796875,0
32,lossy,128,2097152,79250,2017902,26.462485804416403,16384.0,619.140625,15764.859375,0
32,lossy,128,2097152,78818,2018334,26.607526199599075,16384.0,615.765625,15768.234375,0
32,lossy,128,2097152,78726,2018426,26.638620023880293,16384.0,615.046875,15768.953125,0
32,lossy,128,2097152,79682,2017470,26.319018096935316,16384.0,622.515625,15761.484375,0
32,lossy,128,2097152,79063,2018089,26.52507494023753,16384.0,617.6796875,15766.3203125,0
32,lossy,128,2097152,81007,2016145,25.88852815188811,16384.0,632.8671875,15751.1328125,0
32,lossy,128,2097152,82064,2015088,25.55507896276077,16384.0,641.125,15742.875,0
32,lossy,128,2097152,82490,2014662,25.42310583100982,16384.0,644.453125,15739.546875,0
32,lossy,128,2097152,81195,2015957,25.828585504033498,16384.0,634.3359375,15749.6640625,0
32,lossy,128,2097152,82061,2015091,25.556013209685478,16384.0,641.1015625,15742.8984375,0
32,lossy,128,2097152,81798,2015354,25.63818186263723,16384.0,639.046875,15744.953125,0
32,lossy,128,2097152,82695,2014457,25.360082229880888,16384.0,646.0546875,15737.9453125,0
32,lossy,128,2097152,80630,2016522,26.009574600024806,16384.0,629.921875,15754.078125,0
32,lossy,128,2097152,79886,2017266,26.2518088275793,16384.0,624.109375,15759.890625,0
32,lossy,128,2097152,82946,2014206,25.28334096882309,16384.0,648.015625,15735.984375,0
32,lossy,128,2097152,80023,2017129,26.206865526161227,16384.0,625.1796875,15758.8203125,0
32,lossy,128,2097152,79178,2017974,26.486549293995807,16384.0,618.578125,15765.421875,0
32,lossy,128,2097152,81103,2016049,25.857884418578845,16384.0,633.6171875,15750.3828125,0
32,lossy,128,2097152,80706,2016446,25.98508165439992,16384.0,630.515625,15753.484375,0
32,lossy,128,2097152,79392,2017760,26.41515517936316,16384.0,620.25,15763.75,0
32,lossy,128,2097152,81551,2015601,25.715834263221787,16384.0,637.1171875,15746.8828125,0
32,lossy,128,2097152,82005,2015147,25.57346503261996,16384.0,640.6640625,15743.3359375,0
32,lossy,128,2097152,82649,2014503,25.374196904983727,16384.0,645.6953125,15738.3046875,0
32,lossy,128,2097152,82093,2015059,25.546051429476325,16384.0,641.3515625,15742.6484375,0
32,lossy,128,2097152,82157,2014995,25.526151149628152,16384.0,641.8515625,15742.1484375,0
32,lossy,128,2097152,79806,2017346,26.278124451795605,16384.0,623.484375,15760.515625,0
32,lossy,128,2097152,80035,2017117,26.20293621540576,16384.0,625.2734375,15758.7265625,0
32,lossy,128,2097152,78881,2018271,26.586275528961348,16384.0,616.2578125,15767.7421875,0
32,lossy,128,2097152,79122,2018030,26.50529561942317,16384.0,618.140625,15765.859375,0
32,lossy,128,2097152,78127,2019025,26.842858422824374,16384.0,610.3671875,15773.6328125,0
32,lossy,128,2097152,80250,2016902,26.132735202492213,16384.0,626.953125,15757.046875,0
32,lossy,128,2097152,78936,2018216,26.56775108949022,16384.0,616.6875,15767.3125,0
32,lossy,128,2097152,78542,2018610,26.701026202541314,16384.0,613.609375,15770.390625,0
32,lossy,128,2097152,78936,2018216,26.56775108949022,16384.0,616.6875,15767.3125,0
32,lossy,128,2097152,81273,2015879,25.80379707898072,16384.0,634.9453125,15749.0546875,0
32,lossy,128,2097152,80921,2016231,25.916041571409153,16384.0,632.1953125,15751.8046875,0
32,lossy,128,2097152,81121,2016031,25.852146793062214,16384.0,633.7578125,15750.2421875,0
32,lossy,128,2097152,79404,2017748,26.4111631655836,16384.0,620.34375,15763.65625,0
32,lossy,128,2097152,78845,2018307,26.598414610945525,16384.0,615.9765625,15768.0234375,0
32,lossy,128,2097152,81681,2015471,25.674906036899646,16384.0,638.1328125,15745.8671875,0
32,lossy,128,2097152,79736,2017416,26.30119394000201,16384.0,622.9375,15761.0625,0
32,lossy,128,2097152,78798,2018354,26.614279550242394,16384.0,615.609375,15768.390625,0
32,lossy,128,2097152,78384,2018768,26.754847928148603,16384.0,612.375,15771.625,0
32,lossy,128,2097152,75925,2021227,27.621363187355943,16384.0,593.1640625,15790.8359375,0
32,lossy,128,2097152,74467,2022685,28.162165791558678,16384.0,581.7734375,15802.2265625,0
32,lossy,128,2097152,77923,2019229,26.913132194602365,16384.0,608.7734375,15775.2265625,0
32,lossy,128,2097152,79587,2017565,26.350434116124493,16384.0,621.7734375,15762.2265625,0
32,lossy,128,2097152,79831,2017321,26.269895153511793,16384.0,623.6796875,15760.3203125,0
32,lossy,128,2097152,79035,2018117,26.53447206933637,16384.0,617.4609375,15766.5390625,0
32,lossy,128,2097152,78932,2018220,26.569097450970457,16384.0,616.65625,15767.34375,0
32,lossy,128,2097152,77337,2019815,27.11705910495623,16384.0,604.1953125,15779.8046875,0
32,lossy,128,2097152,78195,2018957,26.819515314278405,16384.0,610.8984375,15773.1015625,0
32,lossy,128,2097152,78660,2018492,26.660971268751588,16384.0,614.53125,15769.46875,0
32,lossy,128,2097152,77751,2019401,26.972669161811424,16384.0,607.4296875,15776.5703125,0
32,lossy,128,2097152,80243,2016909,26.135014892264746,16384.0,626.8984375,15757.1015625,0
32,lossy,128,2097152,78317,2018835,26.777736634447184,16384.0,611.8515625,15772.1484375,0
32,lossy,128,1572864,70916,1501948,22.179254329065373,12288.0,554.03125,11733.96875,0
32,lossy,128,1572864,71350,1501514,22.044344779257184,12288.0,557.421875,11730.578125,0
32,lossy,128,1572864,70671,1502193,22.25614467037399,12288.0,552.1171875,11735.8828125,0
32,lossy,128,1572864,68189,1504675,23.066242355805187,12288.0,532.7265625,11755.2734375,0
32,lossy,128,1572864,70912,1501952,22.180505415162454,12288.0,554.0,11734.0,0
32,lossy,128,1572864,69010,1503854,22.79182727140994,12288.0,539.140625,11748.859375,0
32,lossy,128,1572864,68667,1504197,22.90567521516886,12288.0,536.4609375,11751.5390625,0
32,lossy,128,1572864,66951,1505913,23.492763364251466,12288.0,523.0546875,11764.9453125,0
32,lossy,128,1572864,70033,1502831,22.458897948110177,12288.0,547.1328125,11740.8671875,0
32,lossy,128,1572864,70930,1501934,22.1748766389398,12288.0,554.140625,11733.859375,0
32,lossy,128,1572864,72316,1500548,21.74987554621384,12288.0,564.96875,11723.03125,0
32,lossy,128,1572864,73167,1499697,21.496904342121447,12288.0,571.6171875,11716.3828125,0
32,lossy,128,1572864,73785,1499079,21.316853018906283,12288.0,576.4453125,11711.5546875,0
32,lossy,128,1572864,73607,1499257,21.36840246172239,12288.0,575.0546875,11712.9453125,0
32,lossy,128,1572864,75111,1497753,20.94052801853257,12288.0,586.8046875,11701.1953125,0
32,lossy,128,1572864,74789,1498075,21.030686330877536,12288.0,584.2890625,11703.7109375,0
32,lossy,128,1572864,72309,1500555,21.75198108119321,12288.0,564.9140625,11723.0859375,0
32,lossy,128,1572864,74016,1498848,21.250324254215304,12288.0,578.25,11709.75,0
32,lossy,128,1572864,71521,1501343,21.99163881936774,12288.0,558.7578125,11729.2421875,0
32,lossy,128,1572864,72592,1500272,21.667180956579237,12288.0,567.125,11720.875,0
32,lossy,128,1572864,72638,1500226,21.65345962168562,12288.0,567.484375,11720.515625,0
32,lossy,128,1572864,74039,1498825,21.243722902794474,12288.0,578.4296875,11709.5703125,0
32,lossy,128,1572864,73286,1499578,21.46199819883743,12288.0,572.546875,11715.453125,0
32,lossy,128,1572864,73251,1499613,21.472252938526438,12288.0,572.2734375,11715.7265625,0
32,lossy,128,1572864,75128,1497736,20.935789585773612,12288.0,586.9375,11701.0625,0
32,lossy,128,1572864,76823,1496041,20.4738685029223,12288.0,600.1796875,11687.8203125,0
32,lossy,128,1572864,75922,1496942,20.716840968362266,12288.0,593.140625,11694.859375,0
32,lossy,128,1572864,76651,1496213,20.519810569986042,12288.0,598.8359375,11689.1640625,0
32,lossy,128,1572864,76952,1495912,20.43954673042936,12288.0,601.1875,11686.8125,0
32,lossy,128,1572864,75657,1497207,20.789404813830842,12288.0,591.0703125,11696.9296875,0
32,lossy,128,1572864,76793,1496071,20.481866836821066,12288.0,599.9453125,11688.0546875,0
32,lossy,128,1572864,80752,1492112,19.477709530414106,12288.0,630.875,11657.125,0
32,lossy,128,1572864,81252,1491612,19.35784965293162,12288.0,634.78125,11653.21875,0
32,lossy,128,1572864,81227,1491637,19.363807600920875,12288.0,634.5859375,11653.4140625,0
32,lossy,128,1572864,81416,1491448,19.31885624447283,12288.0,636.0625,11651.9375,0
32,lossy,128,1572864,79677,1493187,19.74050227794721,12288.0,622.4765625,11665.5234375,0
32,lossy,128,1572864,77399,1495465,20.32150286179408,12288.0,604.6796875,11683.3203125,0
32,lossy,128,1572864,74825,1498039,21.020567991981288,12288.0,584.5703125,11703.4296875,0
32,lossy,128,1572864,72854,1500010,21.589260713207235,12288.0,569.171875,11718.828125,0
32,lossy,128,1572864,72880,1499984,21.581558726673986,12288.0,569.375,11718.625,0
32,lossy,128,1572864,73336,1499528,21.447365550343623,12288.0,572.9375,11715.0625,0
32,lossy,128,1572864,72630,1500234,21.65584469227592,12288.0,567.421875,11720.578125,0
32,lossy,128,1572864,72039,1500825,21.833506850456004,12288.0,562.8046875,11725.1953125,0
32,lossy,128,1572864,74824,1498040,21.020848925478457,12288.0,584.5625,11703.4375,0
32,lossy,128,1572864,74906,1497958,20.997837289402717,12288.0,585.203125,11702.796875,0
32,lossy,128,1572864,74241,1498623,21.185921525841515,12288.0,580.0078125,11707.9921875,0
32,lossy,128,1572864,75078,1497786,20.94973227843043,12288.0,586.546875,11701.453125,0
32,lossy,128,1572864,76327,1496537,20.606914984212665,12288.0,596.3046875,11691.6953125,0
32,lossy,128,1572864,74735,1498129,21.045882116812738,12288.0,583.8671875,11704.1328125,0
32,lossy,128,1572864,72912,1499952,21.57208689927584,12288.0,569.625,11718.375,0
32,lossy,128,1572864,73919,1498945,21.278209932493674,12288.0,577.4921875,11710.5078125,0
32,lossy,128,1572864,75956,1496908,20.707567539101586,12288.0,593.40625,11694.59375,0
32,lossy,128,1572864,75522,1497342,20.826567093032494,12288.0,590.015625,11697.984375,0
32,lossy,128,1572864,75735,1497129,20.76799366211131,12288.0,591.6796875,11696.3203125,0
32,lossy,128,1572864,76431,1496433,20.57887506378302,12288.0,597.1171875,11690.8828125,0
32,lossy,128,1572864,75480,1497384,20.838155802861685,12288.0,589.6875,11698.3125,0
32,lossy,128,1572864,74459,1498405,21.12389368645832,12288.0,581.7109375,11706.2890625,0
32,lossy,128,1572864,75781,1497083,20.755387234267165,12288.0,592.0390625,11695.9609375,0
32,lossy,128,1572864,73849,1499015,21.298379124971223,12288.0,576.9453125,11711.0546875,0
32,lossy,128,1572864,72787,1500077,21.609133499113852,12288.0,568.6484375,11719.3515625,0
32,lossy,128,1572864,72546,1500318,21.68091969233314,12288.0,566.765625,11721.234375,0
32,lossy,128,1572864,71549,1501315,21.98303260702456,12288.0,558.9765625,11729.0234375,0
32,lossy,128,1572864,73182,1499682,21.492498155284085,12288.0,571.734375,11716.265625,0
32,lossy,128,1572864,72847,1500017,21.59133526432111,12288.0,569.1171875,11718.8828125,0
32,lossy,128,1572864,72494,1500370,21.69647143211852,12288.0,566.359375,11721.640625,0
32,lossy,128,1572864,71897,1500967,21.87662906658136,12288.0,561.6953125,11726.3046875,0
32,lossy,128,1572864,72366,1500498,21.734847856728297,12288.0,565.359375,11722.640625,0
32,lossy,128,1572864,72270,1500594,21.763719385637195,12288.0,564.609375,11723.390625,0
32,lossy,128,1572864,72984,1499880,21.5508056560342,12288.0,570.1875,11717.8125,0
32,lossy,128,1572864,72141,1500723,21.802636503513952,12288.0,563.6015625,11724.3984375,0
32,lossy,128,1572864,71022,1501842,22.14615189659542,12288.0,554.859375,11733.140625,0
32,lossy,128,1572864,70218,1502646,22.39972656583782,12288.0,548.578125,11739.421875,0
32,lossy,128,1572864,67917,1504947,23.158620080392243,12288.0,530.6015625,11757.3984375,0
32,lossy,128,1572864,67604,1505260,23.265842257854565,12288.0,528.15625,11759.84375,0
32,lossy,128,1572864,67471,1505393,23.311704287768077,12288.0,527.1171875,11760.8828125,0
32,lossy,128,1572864,69534,1503330,22.620070756752092,12288.0,543.234375,11744.765625,0
32,lossy,128,1572864,68058,1504806,23.110640923917835,12288.0,531.703125,11756.296875,0
32,lossy,128,1572864,67719,1505145,23.226332343950737,12288.0,529.0546875,11758.9453125,0
32,lossy,128,1572864,68251,1504613,23.04528871371848,12288.0,533.2109375,11754.7890625,0
32,lossy,128,1572864,66959,1505905,23.4899565405696,12288.0,523.1171875,11764.8828125,0
32,lossy,128,1572864,67686,1505178,23.237656236149277,12288.0,528.796875,11759.203125,0
32,lossy,128,1572864,68264,1504600,23.040900035157623,12288.0,533.3125,11754.6875,0
32,lossy,128,1572864,66514,1506350,23.64711188621944,12288.0,519.640625,11768.359375,0
32,lossy,128,1572864,66419,1506445,23.68093467230762,12288.0,518.8984375,11769.1015625,0
32,lossy,128,1572864,65070,1507794,24.171876440756108,12288.0,508.359375,11779.640625,0
32,lossy,128,1572864,64536,1508328,24.37188545927854,12288.0,504.1875,11783.8125,0
32,lossy,128,1572864,67284,1505580,23.376493668628502,12288.0,525.65625,11762.34375,0
