Compression Factor,Mode,Num CAVs,Total Original Size (bytes),Total Compressed Size (bytes),Total Gained Size (bytes),Actual Compression Ratio,Avg Original Size per CAV (bytes),Avg Compressed Size per CAV (bytes),Avg Gained Size per CAV (bytes),Is_Lossless
32,lossy,128,2097152,177710,1919442,11.800979123290755,16384.0,1388.359375,14995.640625,0
32,lossy,128,2097152,177768,1919384,11.797128842086314,16384.0,1388.8125,14995.1875,0
32,lossy,128,2097152,185513,1911639,11.304609380474684,16384.0,1449.3203125,14934.6796875,0
32,lossy,128,2097152,185949,1911203,11.278103135806054,16384.0,1452.7265625,14931.2734375,0
32,lossy,128,2097152,183082,1914070,11.454714281032542,16384.0,1430.328125,14953.671875,0
32,lossy,128,2097152,180765,1916387,11.601537908334025,16384.0,1412.2265625,14971.7734375,0
32,lossy,128,2097152,180410,1916742,11.624366720248323,16384.0,1409.453125,14974.546875,0
32,lossy,128,2097152,181232,1915920,11.571642976957712,16384.0,1415.875,14968.125,0
32,lossy,128,2097152,174952,1922200,11.987013580867895,16384.0,1366.8125,15017.1875,0
32,lossy,128,2097152,178984,1918168,11.716980288740894,16384.0,1398.3125,14985.6875,0
32,lossy,128,2097152,184909,1912243,11.341535566143346,16384.0,1444.6015625,14939.3984375,0
32,lossy,128,2097152,188736,1908416,11.111563241776874,16384.0,1474.5,14909.5,0
32,lossy,128,2097152,181918,1915234,11.528007124088875,16384.0,1421.234375,14962.765625,0
32,lossy,128,2097152,180710,1916442,11.605068894914504,16384.0,1411.796875,14972.203125,0
32,lossy,128,2097152,180422,1916730,11.623593575062909,16384.0,1409.546875,14974.453125,0
32,lossy,128,2097152,181195,1915957,11.574005905240211,16384.0,1415.5859375,14968.4140625,0
32,lossy,128,2097152,179010,1918142,11.71527847606279,16384.0,1398.515625,14985.484375,0
32,lossy,128,2097152,167658,1929494,12.508511374345394,16384.0,1309.828125,15074.171875,0
32,lossy,128,2097152,164106,1933046,12.779252434402155,16384.0,1282.078125,15101.921875,0
32,lossy,128,2097152,161133,1936019,13.015037267350573,16384.0,1258.8515625,15125.1484375,0
32,lossy,128,2097152,158882,1938270,13.199431024282172,16384.0,1241.265625,15142.734375,0
32,lossy,128,2097152,156752,1940400,13.378789425334286,16384.0,1224.625,15159.375,0
32,lossy,128,2097152,159230,1937922,13.170583432770206,16384.0,1243.984375,15140.015625,0
32,lossy,128,2097152,155552,1941600,13.481999588562024,16384.0,1215.25,15168.75,0
32,lossy,128,2097152,153204,1943948,13.688624317902926,16384.0,1196.90625,15187.09375,0
32,lossy,128,2097152,152754,1944398,13.728949814734802,16384.0,1193.390625,15190.609375,0
32,lossy,128,2097152,156388,1940764,13.409929150574213,16384.0,1221.78125,15162.21875,0
32,lossy,128,2097152,161010,1936142,13.024979814918328,16384.0,1257.890625,15126.109375,0
32,lossy,128,2097152,160793,1936359,13.042557822790792,16384.0,1256.1953125,15127.8046875,0
32,lossy,128,2097152,165845,1931307,12.645253097772017,16384.0,1295.6640625,15088.3359375,0
32,lossy,128,2097152,166408,1930744,12.602471035046392,16384.0,1300.0625,15083.9375,0
32,lossy,128,2097152,164523,1932629,12.746862140855686,16384.0,1285.3359375,15098.6640625,0
32,lossy,128,2097152,164778,1932374,12.727135904064863,16384.0,1287.328125,15096.671875,0
32,lossy,128,2097152,167232,1929920,12.540375047837735,16384.0,1306.5,15077.5,0
32,lossy,128,2097152,172916,1924236,12.128154710957922,16384.0,1350.90625,15033.09375,0
32,lossy,128,2097152,171387,1925765,12.236353982507424,16384.0,1338.9609375,15045.0390625,0
32,lossy,128,2097152,174661,1922491,12.006984959435707,16384.0,1364.5390625,15019.4609375,0
32,lossy,128,2097152,173259,1923893,12.104144662037758,16384.0,1353.5859375,15030.4140625,0
32,lossy,128,2097152,177438,1919714,11.819069196000857,16384.0,1386.234375,14997.765625,0
