(1,100)
(2,11.71875)
(3,17.1875)
(4,20.3125)
(5,16.40625)
(6,14.0625)
(7,8.59375)
(8,3.125)
(9,2.34375)
(10,2.34375)
(11,4.6875)
(12,9.375)
(13,8.59375)
(14,6.25)
(15,11.71875)
(16,3.125)
(17,19.53125)
(18,19.53125)
(19,19.53125)
(20,22.65625)
(21,2.34375)
(22,3.125)
(23,4.6875)
(24,3.90625)
(25,18.75)
(26,5.46875)
(27,12.5)
(28,21.09375)
(29,19.53125)
(30,20.3125)
(31,20.3125)
(32,10.15625)
(33,19.53125)
(34,21.09375)
(35,18.75)
(36,19.53125)
(37,14.84375)
(38,17.1875)
(39,16.40625)
(40,8.59375)
(41,2.34375)
(42,2.34375)
(43,0.0)
