Compression Factor,Mode,Num CAVs,Total Original Size (bytes),Total Compressed Size (bytes),Total Gained Size (bytes),Actual Compression Ratio,Avg Original Size per CAV (bytes),Avg Compressed Size per CAV (bytes),Avg Gained Size per CAV (bytes),Is_Lossless
64,lossy,4,2097152,20972,2076180,99.99771123402633,524288.0,5243.0,519045.0,0
64,lossy,4,393216,3829,389387,102.69417602507183,98304.0,957.25,97346.75,0
64,lossy,4,655360,9679,645681,67.7094741192272,163840.0,2419.75,161420.25,0
64,lossy,4,376832,6250,370582,60.29312,94208.0,1562.5,92645.5,0
64,lossy,4,212992,3621,209371,58.8213200773267,53248.0,905.25,52342.75,0
64,lossy,4,491520,7035,484485,69.86780383795309,122880.0,1758.75,121121.25,0
64,lossy,4,393216,3724,389492,105.58968850698174,98304.0,931.0,97373.0,0
64,lossy,4,360448,4064,356384,88.69291338582677,90112.0,1016.0,89096.0,0
64,lossy,4,393216,4114,389102,95.57997083130773,98304.0,1028.5,97275.5,0
64,lossy,4,393216,3064,390152,128.33420365535247,98304.0,766.0,97538.0,0
64,lossy,4,376832,3292,373540,114.46901579586877,94208.0,823.0,93385.0,0
64,lossy,4,409600,4428,405172,92.5022583559169,102400.0,1107.0,101293.0,0
64,lossy,4,294912,2829,292083,104.24602332979852,73728.0,707.25,73020.75,0
64,lossy,4,344064,5232,338832,65.76146788990826,86016.0,1308.0,84708.0,0
64,lossy,4,393216,3490,389726,112.66934097421203,98304.0,872.5,97431.5,0
64,lossy,4,409600,5548,404052,73.8284066330209,102400.0,1387.0,101013.0,0
64,lossy,4,393216,4396,388820,89.44858962693358,98304.0,1099.0,97205.0,0
64,lossy,4,393216,4641,388575,84.72656755009696,98304.0,1160.25,97143.75,0
64,lossy,4,376832,3503,373329,107.5740793605481,94208.0,875.75,93332.25,0
64,lossy,4,393216,3249,389967,121.02677746999076,98304.0,812.25,97491.75,0
64,lossy,4,376832,4580,372252,82.27772925764192,94208.0,1145.0,93063.0,0
64,lossy,4,376832,3469,373363,108.62842317670798,94208.0,867.25,93340.75,0
64,lossy,4,409600,4118,405482,99.46576007770763,102400.0,1029.5,101370.5,0
64,lossy,4,245760,3772,241988,65.15376458112407,61440.0,943.0,60497.0,0
64,lossy,4,344064,4182,339882,82.27259684361549,86016.0,1045.5,84970.5,0
64,lossy,4,360448,3671,356777,98.18795968400981,90112.0,917.75,89194.25,0
64,lossy,4,311296,6184,305112,50.338939197930145,77824.0,1546.0,76278.0,0
64,lossy,4,311296,4058,307238,76.71168063085264,77824.0,1014.5,76809.5,0
64,lossy,4,327680,5497,322183,59.61069674367837,81920.0,1374.25,80545.75,0
64,lossy,4,311296,3068,308228,101.46544980443285,77824.0,767.0,77057.0,0
64,lossy,4,294912,3349,291563,88.05971931919976,73728.0,837.25,72890.75,0
64,lossy,4,360448,3708,356740,97.2081984897519,90112.0,927.0,89185.0,0
64,lossy,4,344064,5876,338188,58.554118447923756,86016.0,1469.0,84547.0,0
64,lossy,4,294912,3436,291476,85.83003492433062,73728.0,859.0,72869.0,0
64,lossy,4,425984,4200,421784,101.42476190476191,106496.0,1050.0,105446.0,0
64,lossy,4,294912,4142,290770,71.20038628681796,73728.0,1035.5,72692.5,0
