Compression Factor,Mode,Num CAVs,Total Original Size (bytes),Total Compressed Size (bytes),Total Gained Size (bytes),Actual Compression Ratio,Avg Original Size per CAV (bytes),Avg Compressed Size per CAV (bytes),Avg Gained Size per CAV (bytes),Is_Lossless
64,lossy,4,2097152,38366,2058786,54.66173174164625,524288.0,9591.5,514696.5,0
64,lossy,4,245760,5847,239913,42.03181118522319,61440.0,1461.75,59978.25,0
64,lossy,4,360448,10012,350436,36.001598082301236,90112.0,2503.0,87609.0,0
64,lossy,4,425984,14222,411762,29.952468007312614,106496.0,3555.5,102940.5,0
64,lossy,4,344064,9676,334388,35.55849524596941,86016.0,2419.0,83597.0,0
64,lossy,4,294912,6483,288429,45.49005090236002,73728.0,1620.75,72107.25,0
64,lossy,4,180224,5786,174438,31.14828897338403,45056.0,1446.5,43609.5,0
64,lossy,4,65536,2322,63214,28.223944875107666,16384.0,580.5,15803.5,0
64,lossy,4,49152,2218,46934,22.160504959422905,12288.0,554.5,11733.5,0
64,lossy,4,49152,2309,46843,21.28713728886964,12288.0,577.25,11710.75,0
64,lossy,4,98304,4011,94293,24.50860134629768,24576.0,1002.75,23573.25,0
64,lossy,4,196608,7205,189403,27.287716863289383,49152.0,1801.25,47350.75,0
64,lossy,4,180224,6716,173508,26.835020845741514,45056.0,1679.0,43377.0,0
64,lossy,4,131072,5591,125481,23.44339116437131,32768.0,1397.75,31370.25,0
64,lossy,4,245760,8946,236814,27.471495640509726,61440.0,2236.5,59203.5,0
64,lossy,4,65536,3527,62009,18.581230507513467,16384.0,881.75,15502.25,0
64,lossy,4,409600,15103,394497,27.120439647752104,102400.0,3775.75,98624.25,0
64,lossy,4,409600,14516,395084,28.217139707908515,102400.0,3629.0,98771.0,0
64,lossy,4,409600,14687,394913,27.888608973922516,102400.0,3671.75,98728.25,0
64,lossy,4,475136,18781,456355,25.29875938448432,118784.0,4695.25,114088.75,0
64,lossy,4,49152,2882,46270,17.054823039555863,12288.0,720.5,11567.5,0
64,lossy,4,65536,3301,62235,19.853377764313844,16384.0,825.25,15558.75,0
64,lossy,4,98304,4409,93895,22.29621229303697,24576.0,1102.25,23473.75,0
64,lossy,4,81920,3745,78175,21.874499332443257,20480.0,936.25,19543.75,0
64,lossy,4,393216,15432,377784,25.480559875583204,98304.0,3858.0,94446.0,0
64,lossy,4,114688,5062,109626,22.65665744764915,28672.0,1265.5,27406.5,0
64,lossy,4,262144,11705,250439,22.395899188381033,65536.0,2926.25,62609.75,0
64,lossy,4,442368,17258,425110,25.632634140688378,110592.0,4314.5,106277.5,0
64,lossy,4,409600,14718,394882,27.829868188612583,102400.0,3679.5,98720.5,0
64,lossy,4,425984,18649,407335,22.842189929754948,106496.0,4662.25,101833.75,0
64,lossy,4,425984,18118,407866,23.511645877028368,106496.0,4529.5,101966.5,0
64,lossy,4,212992,11096,201896,19.195385724585435,53248.0,2774.0,50474.0,0
64,lossy,4,409600,18541,391059,22.091580820883447,102400.0,4635.25,97764.75,0
64,lossy,4,442368,21796,420572,20.295834097999634,110592.0,5449.0,105143.0,0
64,lossy,4,393216,20894,372322,18.819565425481,98304.0,5223.5,93080.5,0
64,lossy,4,409600,19425,390175,21.086229086229086,102400.0,4856.25,97543.75,0
64,lossy,4,311296,16244,295052,19.163752770253634,77824.0,4061.0,73763.0,0
64,lossy,4,360448,17053,343395,21.136926054066734,90112.0,4263.25,85848.75,0
64,lossy,4,344064,17961,326103,19.15617170536162,86016.0,4490.25,81525.75,0
64,lossy,4,180224,10093,170131,17.856336074507084,45056.0,2523.25,42532.75,0
64,lossy,4,49152,3184,45968,15.43718592964824,12288.0,796.0,11492.0,0
64,lossy,4,49152,3194,45958,15.3888541014402,12288.0,798.5,11489.5,0
